SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,MinRabbitLifeTime,AverageRabbitLifeTime,MaxRabbitLifeTime,MinFoxLifeTime,AverageFoxLifeTime,MaxFoxLifeTime,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
26,797534450,2,4,69,59,44,50,50,50,4450,4450,4450,0,0,0,0,0,0,0,0
27,015734500,2,4,69,59,44,50,50,50,4500,4500,4500,0,0,0,0,0,0,0,0
27,245684550,2,4,69,59,44,50,50,50,4550,4550,4550,0,0,0,0,0,0,0,0
27,460434600,2,4,69,59,44,50,50,50,4600,4600,4600,0,0,0,0,0,0,0,0
27,677294650,2,4,69,59,44,50,50,50,4650,4650,4650,0,0,0,0,0,0,0,0
27,903644700,2,4,69,59,44,50,50,50,4700,4700,4700,0,0,0,0,0,0,0,0
28,158854750,2,4,69,59,44,50,50,50,4750,4750,4750,0,0,0,0,0,0,0,0
28,386464800,2,4,69,59,44,50,50,50,4800,4800,4800,0,0,0,0,0,0,0,0
28,611194850,2,4,69,59,44,50,50,50,4850,4850,4850,0,0,0,0,0,0,0,0
28,853634900,2,4,69,59,44,50,50,50,4900,4900,4900,0,0,0,0,0,0,0,0
29,08264950,2,4,69,59,44,50,50,50,4950,4950,4950,0,0,0,0,0,0,0,0
29,31895000,2,4,69,59,44,50,50,50,5000,5000,5000,0,0,0,0,0,0,0,0
29,566365050,2,4,69,59,44,50,50,50,5050,5050,5050,0,0,0,0,0,0,0,0
29,80095100,2,4,69,59,44,50,50,50,5100,5100,5100,0,0,0,0,0,0,0,0
30,04935150,2,4,69,59,44,50,50,50,5150,5150,5150,0,0,0,0,0,0,0,0
30,273235200,2,4,69,59,44,50,50,50,5200,5200,5200,0,0,0,0,0,0,0,0
30,504965250,2,4,69,59,44,50,50,50,5250,5250,5250,0,0,0,0,0,0,0,0
30,75325300,2,4,69,59,44,50,50,50,5300,5300,5300,0,0,0,0,0,0,0,0
30,980015350,2,4,69,59,44,50,50,50,5350,5350,5350,0,0,0,0,0,0,0,0
31,206065400,2,4,69,59,44,50,50,50,5400,5400,5400,0,0,0,0,0,0,0,0
31,461445450,2,4,69,59,44,50,50,50,5450,5450,5450,0,0,0,0,0,0,0,0
31,688855500,2,4,69,59,44,50,50,50,5500,5500,5500,0,0,0,0,0,0,0,0
31,915095550,2,4,69,59,44,50,50,50,5550,5550,5550,0,0,0,0,0,0,0,0
32,159835600,2,4,69,59,44,50,50,50,5600,5600,5600,0,0,0,0,0,0,0,0
32,396265650,2,4,69,59,44,50,50,50,5650,5650,5650,0,0,0,0,0,0,0,0
32,649365700,2,4,69,59,44,50,50,50,5700,5700,5700,0,0,0,0,0,0,0,0
32,879495750,2,4,69,59,44,50,50,50,5750,5750,5750,0,0,0,0,0,0,0,0
33,107695800,2,4,69,59,44,50,50,50,5800,5800,5800,0,0,0,0,0,0,0,0
33,373885850,2,4,69,59,44,50,50,50,5850,5850,5850,0,0,0,0,0,0,0,0
33,608625900,2,4,69,59,44,50,50,50,5900,5900,5900,0,0,0,0,0,0,0,0
33,853995950,2,4,69,59,44,50,50,50,5950,5950,5950,0,0,0,0,0,0,0,0
34,080336000,2,4,69,59,44,50,50,50,6000,6000,6000,0,0,0,0,0,0,0,0
34,316376050,2,4,69,59,44,50,50,50,6050,6050,6050,0,0,0,0,0,0,0,0
34,563946100,2,4,69,59,44,50,50,50,6100,6100,6100,0,0,0,0,0,0,0,0
